mcNumber,legalName,dbaName,entityType,operationType,phone,email,physicalAddress,mailingAddress,city,state,zip,url
MC-723105,FROST TRANS SERVICES INC,,CARRIER,Property,(717) 818-7945,FROSTTRANSINC@GMAIL.COM,"520 FISHER DR, YORK, PA 17404","PO BOX 25, MANCHESTER, PA 17345",YORK,PA,17404,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=723105
MC-723133,HAROLD A LEZER,H M L TRUCKING,CARRIER,Property,(320) 387-2479,LEZER2013@GMAIL.COM,"12913 115TH STREET NE, FOLEY, MN 56329","12913 115TH STREET NE, FOLEY, MN 56329",FOLEY,MN,56329,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=723133
MC-723138,A S E TRUCKING LLC,,CARRIER,Property,(610) 563-9700,,"113 JACKSON AVE, WEST GROVE, PA 19390","113 JACKSON AVE, WEST GROVE, PA 19390",WEST GROVE,PA,19390,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=723138
MC-723141,DANNY R PERCIFIELD,D R PERCIFIELD,CARRIER,Property,(308) 882-1667,,"1414 W 15TH ST, MC COOK, NE 69001","PO BOX 633, MC COOK, NE 69001",MC COOK,NE,69001,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=723141
MC-723157,SUMMIT EXPRESS LLC,SUMMIT EXPRESS,CARRIER,Property,(970) 668-6000,BOB.ROPPEL@SUMMITEXPRESS.COM,"211 SUMMIT PLACE STE 298, SILVERTHORNE, CO 80498","P O BOX 1967, SILVERTHORNE, CO 80498",SILVERTHORNE,CO,80498,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=723157
MC-723158,ALL POINTS MOVING & STORAGE LLC,,CARRIER,Property,(201) 444-4880,INFO@ALLPOINTSMOVINGSERVICE.COM,"267 ELMWOOD AVE, GLEN ROCK, NJ 07452","267 ELMWOOD AVE, GLEN ROCK, NJ 07452",GLEN ROCK,NJ,07452,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=723158
MC-723162,NEVADATRANSPORT COM LLC,,CARRIER,Property,(702) 666-1222,INFO@NEVADATRANSPORT.COM,"6381 NARROW ISTHMUS AVE, LAS VEGAS, NV 89139","6381 NARROW ISTHMUS AVE, LAS VEGAS, NV 89139",LAS VEGAS,NV,89139,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=723162
MC-723176,C & E FREIGHT COMPANY LLC,,CARRIER,Property,(956) 240-4391,CARLOSTORREZ09@ATT.NET,"1125 QUAMASIA AVE, MCALLEN, TX 78504","1125 QUAMASIA AVE, MCALLEN, TX 78504",MCALLEN,TX,78504,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=723176
MC-723179,BOWEN TRUCKING LLC,,CARRIER,Property,(309) 737-9162,BOWENTRUCKINGLLC@GMAIL.COM,"11900 162ND AVE, ORION, IL 61273","11900 162ND AVE, ORION, IL 61273",ORION,IL,61273,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=723179
MC-723185,DANNY'S TRANSPORT LLC,,CARRIER,Property,(956) 212-2725,DANNYSTRANSPORT@LIVE.COM,"1212 N OAK STREET, ALTON, TX 78574","1212 N OAK STREET, ALTON, TX 78574",ALTON,TX,78574,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=723185
MC-723196,RED BARN AG & HOME INC,,CARRIER,Property,(918) 723-5959,RED-BARN@SBCGLOBAL.NET,"70589 HWY 59, WESTVILLE, OK 74965","70589 HWY 59, WESTVILLE, OK 74965",WESTVILLE,OK,74965,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=723196
MC-723201,YOUSEF YAQOUB INC,SAMCO,CARRIER,Property,(256) 831-4861,SAMCOYY@AOL.COM,"1237 WEST HAMRIC DRIVE, OXFORD, AL 36203","PO BOX 7130, OXFORD, AL 36203",OXFORD,AL,36203,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=723201
MC-723207,FRANKLIN FARM TRANSPORT LLC,,CARRIER,Property,(229) 221-6322,SAM_FRANKLIN2003@YAHOO.COM,"141 GRIMSLEY RD, COLQUITT, GA 39837","141 GRIMSLEY RD, COLQUITT, GA 39837",COLQUITT,GA,39837,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=723207
MC-723208,CORDOVA TRUCKING LLC,,CARRIER,Property,(325) 977-0524,CORDOVA.TRUCKING@YAHOO.COM,"202 CR 229, BALLINGER, TX 76821","202 CR 229, BALLINGER, TX 76821",BALLINGER,TX,76821,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=723208
,LAZARO TERAN QUIROZ,FAMTERH LOGISTICA Y TRANSPORTES,CARRIER,Property,(631) 126-0682,LAZARO_TERAN@HOTMAIL.COM,"DE LOS TRANSPORTISTAS S/N, NOGALES, SO 84094","402 CALLE MADRID, RIO RICO, AZ 85648",NOGALES,SO,84094,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=723213
MC-723220,LINDE CORPORATION,LINDE,CARRIER,Property,(570) 299-5700,TFRANKLIN@LINDECO.COM,"118 ARMSTRONG RD, PITTSTON, PA 18640","118 ARMSTRONG RD, PITTSTON, PA 18640",PITTSTON,PA,18640,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=723220
MC-723224,J&C FREIGHT LLC,,CARRIER,Property,(954) 573-4259,DORTEGA@JANDCFREIGHT.COM,"18632 S US HIGHWAY 301, WIMAUMA, FL 33598","PO BOX 347, PARRISH, FL 34219",WIMAUMA,FL,33598,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=723224
MC-723227,ARL TRANSPORTATION LLC,,CARRIER,Property,(860) 249-1949,MELISSA@QSMOVING.COM,"110 REED AVENUE, WEST HARTFORD, CT 06110-1510","110 REED AVENUE, WEST HARTFORD, CT 06110-1510",WEST HARTFORD,CT,06110-1510,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=723227
MC-723267,FRANCISCO JAVIER JIMENEZ TAPIA,PITUFOS TRANSPORT,CARRIER,Property,(760) 890-4191,,"1703 EL CENTRO ST APT 412, SEELEY, CA 92273","PO BOX 430, SEELEY, CA 92273",SEELEY,CA,92273,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=723267
MC-723279,ROBERTO A SILVA,R S R AUTO SALES,CARRIER,Property,(956) 648-0552,,"2606 KUMQUAT ST, HIDALGO, TX 78557","2606 KUMQUAT ST, HIDALGO, TX 78557",HIDALGO,TX,78557,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=723279
MC-723281,TOM'S TRUCK SALES LLC,,CARRIER,Property,(703) 392-7900,ADMIN@TOMSTRUCKSALES.COM,"12099 MARSH RD, BEALETON, VA 22712","12099 MARSH RD, BEALETON, VA 22712",BEALETON,VA,22712,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=723281
MC-723293,AMOUN EXPRESS LLC,AXP,CARRIER,Property,(972) 740-5088,AMOUNTRUCKING@GMAIL.COM,"525 CHAPEL CREEK, LAKE DALLAS, TX 75065","525 CHAPEL CREEK, LAKE DALLAS, TX 75065",LAKE DALLAS,TX,75065,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=723293
MC-723297,SCHWARTZHOFF LOGGING & TRUCKING LLC,,CARRIER,Property,(563) 586-2598,J.SCHWARTZHOFFLOGGING@OUTLOOK.COM,"1837 LANSING HARPERS RD, LANSING, IA 52151","PO BOX 56, LANSING, IA 52151",LANSING,IA,52151,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=MC_MX&query_string=723297
